,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.49011509407309,79.3491124260355,76.62857142857142,77.96511627906978,77.71937008122902,88.1955063172358,61.079213887681036
Random Forest,99.55200086101937,82.92831105710815,78.0,80.38869257950529,80.2008103408122,88.90436386655867,64.94306110578691
K-NN,99.64684752557832,88.20960698689956,80.80000000000001,84.34237995824635,84.24699546757269,90.33567534085263,71.49938002904472
MLP,99.62734005556266,89.03394255874673,77.94285714285715,83.12004875076173,83.12015226313815,88.9142510966309,69.65524980983987
SVM,99.6650096528343,90.86161879895562,79.54285714285714,84.82632541133454,84.84929313011659,89.72378067576385,72.51474399292727
LOF,98.34859176246628,30.095990965556187,30.457142857142856,30.27548991763703,29.44045664720868,64.80722789405053,9.98502003193068
IF,99.53854743342235,79.75391498881433,81.48571428571428,80.61051441492368,80.3817856401139,90.61965329835266,65.20599282652836
