,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.44101008334398,76.21220764403878,76.34285714285714,76.27747644875822,75.99467801304522,88.02950591077008,58.46106275836442
Random Forest,99.4477367971425,76.52769845802399,76.57142857142857,76.54955726935161,76.27013865344277,88.14583367772714,58.874147227882915
K-NN,99.57958038759325,86.0345932094811,76.74285714285715,81.12352763515554,81.04678614130137,88.29723399103635,66.29918221178963
MLP,99.61254128520594,88.66930171277997,76.91428571428571,82.37454100367196,82.39216679853638,88.39860401389763,68.47111929768934
SVM,99.60110587174847,87.54055807916937,77.08571428571429,81.98116074141599,81.94943735656643,88.4775114573741,67.75100570834846
LOF,97.60596255911099,0.05521811154058532,0.05714285714285715,0.05616399887672002,-1.1551789171570372,49.41255220604896,1.1765337965656464
IF,99.50962256408876,78.34536368684064,80.62857142857143,79.47057166995212,79.23084167443515,90.18155229064828,63.3967831189878
